scope_id,scope_label,flight_count,delay_over_0_count,delay_over_0_pct,delay_over_15_count,delay_over_15_pct,delay_over_15_wilson_low,delay_over_15_wilson_high,delay_over_60_pct,median_arrival_delay_min,median_delayed_only_min,p90_arrival_delay_min,total_positive_delay_hours
all_flights,All scheduled flights,2545799,1514875,59.5049,487702,19.1571,19.1088,19.2055,1.1182,2.85,23.6,23.0333,354910.6131
scheduled_duration_under_3h,Scheduled duration under 3 hours,1887353,1042382,55.2298,272600,14.4435,14.3934,14.4937,0.6183,1.4667,22.0833,18.6667,207159.5694
