ADEP,ADES,period,flight_count,delayed_over_15_count,median_arrival_delay_min,scope_id,route,delay_over_15_pct
EGKK,LEPA,2022-06,235,29,3.0167,all_flights,EGKK → LEPA,12.3404
EGKK,LEPA,2022-09,237,38,4.2167,all_flights,EGKK → LEPA,16.0338
EGKK,LEPA,2022-12,93,3,-3.4333,all_flights,EGKK → LEPA,3.2258
EGKK,LFMN,2022-03,83,2,-5.5667,all_flights,EGKK → LFMN,2.4096
EGKK,LFMN,2022-06,156,44,7.8333,all_flights,EGKK → LFMN,28.2051
EGKK,LFMN,2022-09,198,36,5.45,all_flights,EGKK → LFMN,18.1818
EGKK,LFMN,2022-12,83,8,0.3333,all_flights,EGKK → LFMN,9.6386
EGKK,LIMC,2022-03,112,1,-25.4,all_flights,EGKK → LIMC,0.8929
EGKK,LIMC,2022-06,181,19,-7.7333,all_flights,EGKK → LIMC,10.4972
EGKK,LIMC,2022-09,207,9,-14.4333,all_flights,EGKK → LIMC,4.3478
EGKK,LIMC,2022-12,196,0,-21.0417,all_flights,EGKK → LIMC,0.0
EGKK,LIRF,2022-03,61,2,-8.9333,all_flights,EGKK → LIRF,3.2787
EGKK,LIRF,2022-06,186,21,-1.1333,all_flights,EGKK → LIRF,11.2903
EGKK,LIRF,2022-09,212,13,-4.1583,all_flights,EGKK → LIRF,6.1321
EGKK,LIRF,2022-12,164,1,-12.3333,all_flights,EGKK → LIRF,0.6098
EGKK,LPFR,2022-03,87,1,-2.5833,all_flights,EGKK → LPFR,1.1494
EGKK,LPFR,2022-06,220,17,2.7833,all_flights,EGKK → LPFR,7.7273
EGKK,LPFR,2022-09,216,21,3.35,all_flights,EGKK → LPFR,9.7222
EGKK,LPFR,2022-12,137,8,1.75,all_flights,EGKK → LPFR,5.8394
EGKK,LSGG,2022-03,226,8,-6.05,all_flights,EGKK → LSGG,3.5398
EGKK,LSGG,2022-06,143,16,-1.0667,all_flights,EGKK → LSGG,11.1888
EGKK,LSGG,2022-09,162,16,-1.6833,all_flights,EGKK → LSGG,9.8765
EGKK,LSGG,2022-12,314,13,-6.3417,all_flights,EGKK → LSGG,4.1401
EGLC,EDDF,2022-03,127,0,-13.6833,all_flights,EGLC → EDDF,0.0
EGLC,EDDF,2022-06,144,4,-3.8417,all_flights,EGLC → EDDF,2.7778
EGLC,EDDF,2022-09,153,6,-4.2167,all_flights,EGLC → EDDF,3.9216
EGLC,EDDF,2022-12,138,2,-8.225,all_flights,EGLC → EDDF,1.4493
EGLC,EGPH,2022-03,174,5,-1.0917,all_flights,EGLC → EGPH,2.8736
EGLC,EGPH,2022-06,187,37,5.45,all_flights,EGLC → EGPH,19.7861
EGLC,EGPH,2022-09,191,36,5.4833,all_flights,EGLC → EGPH,18.8482
EGLC,EGPH,2022-12,191,25,4.8,all_flights,EGLC → EGPH,13.089
EGLC,EHAM,2022-03,204,9,-1.525,all_flights,EGLC → EHAM,4.4118
EGLC,EHAM,2022-06,289,52,4.9167,all_flights,EGLC → EHAM,17.9931
EGLC,EHAM,2022-09,297,46,4.55,all_flights,EGLC → EHAM,15.4882
EGLC,EHAM,2022-12,250,34,4.25,all_flights,EGLC → EHAM,13.6
EGLC,EIDW,2022-03,144,2,-4.5833,all_flights,EGLC → EIDW,1.3889
EGLC,EIDW,2022-06,118,20,5.4083,all_flights,EGLC → EIDW,16.9492
EGLC,EIDW,2022-09,145,12,0.65,all_flights,EGLC → EIDW,8.2759
EGLC,EIDW,2022-12,128,13,-0.975,all_flights,EGLC → EIDW,10.1562
EGLC,ELLX,2022-03,138,1,-11.9583,all_flights,EGLC → ELLX,0.7246
EGLC,ELLX,2022-06,198,10,-2.2333,all_flights,EGLC → ELLX,5.0505
EGLC,ELLX,2022-09,194,13,-1.5667,all_flights,EGLC → ELLX,6.701
EGLC,ELLX,2022-12,140,5,-1.65,all_flights,EGLC → ELLX,3.5714
EGLC,LSZH,2022-03,144,12,0.9167,all_flights,EGLC → LSZH,8.3333
EGLC,LSZH,2022-06,153,15,3.4,all_flights,EGLC → LSZH,9.8039
EGLC,LSZH,2022-09,161,27,3.5333,all_flights,EGLC → LSZH,16.7702
EGLC,LSZH,2022-12,157,21,2.9833,all_flights,EGLC → LSZH,13.3758
EGLL,CYYZ,2022-03,107,28,10.0333,all_flights,EGLL → CYYZ,26.1682
