airport_code,period,arrival_flight_count,arrival_delayed_over_15_count,departure_flight_count,departure_delayed_over_15_count,flight_count,arrival_delay_over_15_pct,departure_delay_over_15_pct,combined_delay_over_15_pct,scope_id
EDDS,2022-09,534,111,290,111,824,20.7865,38.2759,26.9417,scheduled_duration_3h_or_more
EDDS,2022-12,305,49,245,78,550,16.0656,31.8367,23.0909,scheduled_duration_3h_or_more
EDDV,2022-03,283,21,207,16,490,7.4205,7.7295,7.551,scheduled_duration_3h_or_more
EDDV,2022-06,474,160,351,110,825,33.7553,31.339,32.7273,scheduled_duration_3h_or_more
EDDV,2022-09,537,163,352,73,889,30.3538,20.7386,26.5467,scheduled_duration_3h_or_more
EDDV,2022-12,296,56,215,27,511,18.9189,12.5581,16.2427,scheduled_duration_3h_or_more
EDDW,2022-03,56,5,44,8,100,8.9286,18.1818,13.0,scheduled_duration_3h_or_more
EDDW,2022-06,116,42,78,33,194,36.2069,42.3077,38.6598,scheduled_duration_3h_or_more
EDDW,2022-09,133,39,88,35,221,29.3233,39.7727,33.4842,scheduled_duration_3h_or_more
EDDW,2022-12,69,10,53,7,122,14.4928,13.2075,13.9344,scheduled_duration_3h_or_more
EDFH,2022-03,125,46,121,5,246,36.8,4.1322,20.7317,scheduled_duration_3h_or_more
EDFH,2022-06,88,33,83,19,171,37.5,22.8916,30.4094,scheduled_duration_3h_or_more
EDFH,2022-09,104,41,104,23,208,39.4231,22.1154,30.7692,scheduled_duration_3h_or_more
EDFH,2022-12,151,53,161,15,312,35.0993,9.3168,21.7949,scheduled_duration_3h_or_more
EETN,2022-03,77,3,87,8,164,3.8961,9.1954,6.7073,scheduled_duration_3h_or_more
EETN,2022-06,130,39,137,33,267,30.0,24.0876,26.9663,scheduled_duration_3h_or_more
EETN,2022-09,121,15,142,13,263,12.3967,9.1549,10.6464,scheduled_duration_3h_or_more
EETN,2022-12,91,7,130,7,221,7.6923,5.3846,6.3348,scheduled_duration_3h_or_more
EFHK,2022-03,733,142,771,73,1504,19.3724,9.4682,14.2952,scheduled_duration_3h_or_more
EFHK,2022-06,1193,350,1195,213,2388,29.3378,17.8243,23.5762,scheduled_duration_3h_or_more
EFHK,2022-09,1138,249,1145,143,2283,21.8805,12.4891,17.1704,scheduled_duration_3h_or_more
EFHK,2022-12,1042,313,1222,357,2264,30.0384,29.2144,29.5936,scheduled_duration_3h_or_more
EGAA,2022-03,108,16,98,9,206,14.8148,9.1837,12.1359,scheduled_duration_3h_or_more
EGAA,2022-06,142,35,153,47,295,24.6479,30.719,27.7966,scheduled_duration_3h_or_more
EGAA,2022-09,192,42,130,28,322,21.875,21.5385,21.7391,scheduled_duration_3h_or_more
EGAA,2022-12,105,16,95,17,200,15.2381,17.8947,16.5,scheduled_duration_3h_or_more
EGBB,2022-03,512,73,501,18,1013,14.2578,3.5928,8.9832,scheduled_duration_3h_or_more
EGBB,2022-06,1155,405,1120,447,2275,35.0649,39.9107,37.4505,scheduled_duration_3h_or_more
EGBB,2022-09,1180,324,1115,341,2295,27.4576,30.583,28.976,scheduled_duration_3h_or_more
EGBB,2022-12,602,148,547,71,1149,24.5847,12.9799,19.0601,scheduled_duration_3h_or_more
EGCC,2022-03,1449,349,1455,138,2904,24.0856,9.4845,16.77,scheduled_duration_3h_or_more
EGCC,2022-06,2573,1166,2620,1068,5193,45.3168,40.7634,43.0194,scheduled_duration_3h_or_more
EGCC,2022-09,2865,1036,2795,1004,5660,36.1606,35.9213,36.0424,scheduled_duration_3h_or_more
EGCC,2022-12,1719,470,1687,275,3406,27.3415,16.3011,21.8732,scheduled_duration_3h_or_more
EGCN,2022-03,86,14,82,0,168,16.2791,0.0,8.3333,scheduled_duration_3h_or_more
EGCN,2022-06,166,58,152,53,318,34.9398,34.8684,34.9057,scheduled_duration_3h_or_more
EGCN,2022-09,163,38,146,43,309,23.3129,29.4521,26.2136,scheduled_duration_3h_or_more
EGFF,2022-03,29,1,28,2,57,3.4483,7.1429,5.2632,scheduled_duration_3h_or_more
EGFF,2022-06,119,31,114,35,233,26.0504,30.7018,28.3262,scheduled_duration_3h_or_more
EGFF,2022-09,102,32,94,32,196,31.3725,34.0426,32.6531,scheduled_duration_3h_or_more
EGFF,2022-12,34,3,30,3,64,8.8235,10.0,9.375,scheduled_duration_3h_or_more
EGGD,2022-03,300,32,303,12,603,10.6667,3.9604,7.2968,scheduled_duration_3h_or_more
EGGD,2022-06,784,311,748,341,1532,39.6684,45.5882,42.5587,scheduled_duration_3h_or_more
EGGD,2022-09,786,272,739,276,1525,34.6056,37.3478,35.9344,scheduled_duration_3h_or_more
EGGD,2022-12,329,42,314,41,643,12.766,13.0573,12.9082,scheduled_duration_3h_or_more
EGGP,2022-03,117,4,100,3,217,3.4188,3.0,3.2258,scheduled_duration_3h_or_more
EGGP,2022-06,153,50,112,38,265,32.6797,33.9286,33.2075,scheduled_duration_3h_or_more
EGGP,2022-09,166,40,111,29,277,24.0964,26.1261,24.9097,scheduled_duration_3h_or_more
EGGP,2022-12,162,13,136,14,298,8.0247,10.2941,9.0604,scheduled_duration_3h_or_more
EGGW,2022-03,643,73,573,62,1216,11.353,10.8202,11.102,scheduled_duration_3h_or_more
EGGW,2022-06,1192,545,850,361,2042,45.7215,42.4706,44.3683,scheduled_duration_3h_or_more
EGGW,2022-09,1244,400,844,331,2088,32.1543,39.218,35.0096,scheduled_duration_3h_or_more
EGGW,2022-12,1109,141,683,130,1792,12.7142,19.0337,15.1228,scheduled_duration_3h_or_more
EGKK,2022-03,1348,322,1398,45,2746,23.8872,3.2189,13.3649,scheduled_duration_3h_or_more
