airport_code,arrival_flight_count,arrival_delayed_over_15_count,median_arrival_delay_min,arrival_periods_active,departure_flight_count,departure_delayed_over_15_count,median_departure_delay_min,departure_periods_active,flight_count,delayed_over_15_count,arrival_delay_over_15_pct,departure_delay_over_15_pct,combined_delay_over_15_pct,periods_active,scope_id,scope_label,airport_name,city,country,latitude,longitude,executive_eligible
KNKT,1,0,-14.6,1,1,0,4.0,1,2,0,0.0,0.0,0.0,1,scheduled_duration_3h_or_more,3 hours or more,,,,34.9033,-76.8817,False
KNKX,0,0,,0,1,1,76.0,1,1,1,,100.0,100.0,1,scheduled_duration_3h_or_more,3 hours or more,Miramar Marine Corps Air Station - Mitscher Field,San Diego,United States of America,32.8683,-117.1425,False
KNTD,0,0,,0,3,1,-2.0,1,3,1,,33.3333,33.3333,1,scheduled_duration_3h_or_more,3 hours or more,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States of America,34.12,-119.121,False
KNYL,0,0,,0,1,0,12.0,1,1,0,,0.0,0.0,1,scheduled_duration_3h_or_more,3 hours or more,Yuma International Airport / Marine Corps Air Station Yuma,Yuma,United States of America,32.6567,-114.6061,False
KOAK,3,2,16.0,2,2,1,10.5,2,5,3,66.6667,50.0,60.0,2,scheduled_duration_3h_or_more,3 hours or more,San Francisco Bay Oakland International Airport,Oakland,United States of America,37.7167,-122.2167,False
KORD,5665,1703,7.7833,4,5819,1593,2.0,4,11484,3296,30.0618,27.3758,28.7008,4,scheduled_duration_3h_or_more,3 hours or more,Chicago O'Hare International Airport,Chicago,United States of America,41.98,-87.905,True
KPAE,0,0,,0,1,1,68.0,1,1,1,,100.0,100.0,1,scheduled_duration_3h_or_more,3 hours or more,Seattle Paine Field International Airport,Everett,United States of America,47.917,-122.283,False
KPDX,167,49,9.6833,3,168,89,17.0,3,335,138,29.3413,52.9762,41.194,3,scheduled_duration_3h_or_more,3 hours or more,Portland International Airport,Portland,United States of America,45.5883,-122.5983,False
KPHL,1617,341,4.0,4,1789,201,-8.0,4,3406,542,21.0884,11.2353,15.9131,4,scheduled_duration_3h_or_more,3 hours or more,Philadelphia International Airport,Philadelphia,United States of America,39.87,-75.245,True
KPHX,226,56,6.675,4,223,139,24.0,4,449,195,24.7788,62.3318,43.4298,4,scheduled_duration_3h_or_more,3 hours or more,Phoenix Sky Harbor International Airport,Phoenix,United States of America,33.4333,-112.0167,False
KPIT,64,8,5.35,4,50,31,26.5,3,114,39,12.5,62.0,34.2105,4,scheduled_duration_3h_or_more,3 hours or more,Pittsburgh International Airport,Pittsburgh,United States of America,40.5,-80.2333,False
KPOB,0,0,,0,1,1,41.0,1,1,1,,100.0,100.0,1,scheduled_duration_3h_or_more,3 hours or more,Pope Field,Fort Bragg,United States of America,35.1708,-79.0144,False
KPSM,29,1,2.4333,4,21,4,2.0,4,50,5,3.4483,19.0476,10.0,4,scheduled_duration_3h_or_more,3 hours or more,Portsmouth International at Pease Airport,Portsmouth,United States of America,43.0783,-70.8233,False
KRDU,113,18,3.7833,3,112,37,8.0,3,225,55,15.9292,33.0357,24.4444,3,scheduled_duration_3h_or_more,3 hours or more,Raleigh Durham International Airport,Raleigh/Durham,United States of America,35.8667,-78.7833,False
KRFD,83,12,1.15,4,98,49,16.0,4,181,61,14.4578,50.0,33.7017,4,scheduled_duration_3h_or_more,3 hours or more,Chicago Rockford International Airport,Chicago/Rockford,United States of America,42.2,-89.1,False
KRSW,24,11,12.0917,4,24,18,25.5,4,48,29,45.8333,75.0,60.4167,4,scheduled_duration_3h_or_more,3 hours or more,Southwest Florida International Airport,Fort Myers,United States of America,26.5361,-81.7553,False
KSAN,171,43,8.8,4,171,59,10.0,4,342,102,25.1462,34.5029,29.8246,4,scheduled_duration_3h_or_more,3 hours or more,San Diego International Airport,San Diego,United States of America,32.7333,-117.1833,False
KSDF,426,24,-3.7417,4,425,199,13.0,4,851,223,5.6338,46.8235,26.2045,4,scheduled_duration_3h_or_more,3 hours or more,Louisville Muhammad Ali International Airport,Louisville,United States of America,38.1833,-85.7333,True
KSEA,1192,402,9.3917,4,1293,557,13.0,4,2485,959,33.7248,43.0781,38.5915,4,scheduled_duration_3h_or_more,3 hours or more,Seattle–Tacoma International Airport,Seattle,United States of America,47.45,-122.3,True
