operator_code,period,flight_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,operator_name,operator_country,delay_over_15_pct,scope_id
EIN,2022-09,1519,322,1.7833,378.9333,AER LINGUS TEORANTA,IRELAND,21.1982,scheduled_duration_3h_or_more
EIN,2022-12,1244,214,-1.8583,401.4917,AER LINGUS TEORANTA,IRELAND,17.2026,scheduled_duration_3h_or_more
ELY,2022-03,1490,343,5.1083,272.65,EL AL - ISRAEL AIRLINES LTD.,ISRAEL,23.0201,scheduled_duration_3h_or_more
ELY,2022-06,1691,463,7.0167,267.2167,EL AL - ISRAEL AIRLINES LTD.,ISRAEL,27.3802,scheduled_duration_3h_or_more
ELY,2022-09,1798,413,6.5667,263.9,EL AL - ISRAEL AIRLINES LTD.,ISRAEL,22.97,scheduled_duration_3h_or_more
ELY,2022-12,1760,384,5.8,276.3667,EL AL - ISRAEL AIRLINES LTD.,ISRAEL,21.8182,scheduled_duration_3h_or_more
ETD,2022-03,1442,414,8.4333,390.6583,ETIHAD AIRWAYS,UNITED ARAB EMIRATES,28.7101,scheduled_duration_3h_or_more
ETD,2022-06,1551,509,9.4,387.8833,ETIHAD AIRWAYS,UNITED ARAB EMIRATES,32.8175,scheduled_duration_3h_or_more
ETD,2022-09,1695,404,6.5333,391.5667,ETIHAD AIRWAYS,UNITED ARAB EMIRATES,23.8348,scheduled_duration_3h_or_more
ETD,2022-12,1695,411,5.8333,397.75,ETIHAD AIRWAYS,UNITED ARAB EMIRATES,24.2478,scheduled_duration_3h_or_more
ETH,2022-03,1211,358,7.75,425.3333,ETHIOPIAN AIRLINES CORPORATION,ETHIOPIA,29.5623,scheduled_duration_3h_or_more
ETH,2022-06,1237,539,12.9,419.0333,ETHIOPIAN AIRLINES CORPORATION,ETHIOPIA,43.5732,scheduled_duration_3h_or_more
ETH,2022-09,1271,512,11.3833,417.6167,ETHIOPIAN AIRLINES CORPORATION,ETHIOPIA,40.2832,scheduled_duration_3h_or_more
ETH,2022-12,1385,603,11.95,424.5,ETHIOPIAN AIRLINES CORPORATION,ETHIOPIA,43.5379,scheduled_duration_3h_or_more
EVA,2022-03,129,38,8.3,795.6833,EVA AIRWAYS CORPORATION,CHINA,29.4574,scheduled_duration_3h_or_more
EVA,2022-06,135,75,15.9833,809.4667,EVA AIRWAYS CORPORATION,CHINA,55.5556,scheduled_duration_3h_or_more
