operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
LGL,8745,4,186,797,-3.1833,100.5167,9.1138,scheduled_duration_under_3h,Under 3 hours,LUXAIR - SOCIETE LUXEMBOURGEOISE DE NAVIGATION AERIENNE S.A.,LUXEMBOURG,True
LOG,19071,4,306,1796,-1.25,60.8,9.4174,scheduled_duration_under_3h,Under 3 hours,LOGAN AIR LIMITED,UNITED KINGDOM,True
LOT,25473,4,169,2292,-1.9333,87.45,8.9978,scheduled_duration_under_3h,Under 3 hours,LOT - POLSKIE LINIE LOTNICZE,POLAND,True
LTR,386,4,4,6,-11.2417,29.3667,1.5544,scheduled_duration_under_3h,Under 3 hours,LUFTTRANSPORT A/S,NORWAY,False
LWA,166,4,4,72,12.7417,174.8417,43.3735,scheduled_duration_under_3h,Under 3 hours,LIBYAN WINGS,LIBYA,False
LYX,44,2,7,5,-2.4917,81.7833,11.3636,scheduled_duration_under_3h,Under 3 hours,SMARTLYNX AIRLINES MALTA,MALTA,False
LZB,1924,4,77,250,2.0083,112.0083,12.9938,scheduled_duration_under_3h,Under 3 hours,BULGARIA AIR,BULGARIA,True
MAI,259,4,11,103,11.9,149.0833,39.7683,scheduled_duration_under_3h,Under 3 hours,MAURITANIAN AIRLINES INTERNATIONAL,MAURITANIA,False
MEA,1641,4,23,197,0.55,96.9167,12.0049,scheduled_duration_under_3h,Under 3 hours,MIDDLE EAST AIRLINES - AIRLIBAN,LEBANON,True
MLD,1235,4,37,91,-4.6667,129.8833,7.3684,scheduled_duration_under_3h,Under 3 hours,AIR MOLDOVA,REPUBLIC OF MOLDOVA,True
MMD,1439,4,60,96,-3.6833,52.1833,6.6713,scheduled_duration_under_3h,Under 3 hours,AIR ALSIE A/S,DENMARK,True
MNB,869,4,25,134,-2.5167,154.7833,15.42,scheduled_duration_under_3h,Under 3 hours,MNG HAVAYOLLARI VE TASIMACILIK A.S.,TURKEY,True
MNE,1332,4,58,79,-6.95,50.5667,5.9309,scheduled_duration_under_3h,Under 3 hours,TOMONTENEGRO,MONTENEGRO,True
MSA,1555,4,58,36,-5.0833,74.2333,2.3151,scheduled_duration_under_3h,Under 3 hours,POSTE AIR CARGO S.R.L.,ITALY,True
