operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
AUA,3490,4,84,1190,10.1583,257.3167,34.0974,scheduled_duration_3h_or_more,3 hours or more,AUSTRIAN AIRLINES (AUA) AG,AUSTRIA,True
AVA,1336,4,10,405,7.325,577.3667,30.3144,scheduled_duration_3h_or_more,3 hours or more,AEROVIAS DEL CONTINENTE AMERICANO S.A.,COLOMBIA,True
AZG,1609,4,79,602,9.4,424.2167,37.4145,scheduled_duration_3h_or_more,3 hours or more,SILK WAY WEST AIRLINES,AZERBAIJAN,True
AZU,499,4,6,234,13.7167,573.4667,46.8938,scheduled_duration_3h_or_more,3 hours or more,AZUL LINHAS AEREAS BRASILEIRAS S/A,BRAZIL,False
AZV,564,4,98,145,4.95,309.075,25.7092,scheduled_duration_3h_or_more,3 hours or more,AZUR AIR,RUSSIAN FEDERATION,True
BAE,26,4,4,6,4.8,303.1083,23.0769,scheduled_duration_3h_or_more,3 hours or more,BAE SYSTEMS (CORPORATE AIR TRAVEL) LTD,UNITED KINGDOM,False
BAV,129,4,10,33,4.3833,723.2167,25.5814,scheduled_duration_3h_or_more,3 hours or more,BAMBOO AIRWAYS,VIET NAM,False
BAW,23996,4,329,10724,12.95,433.6417,44.6908,scheduled_duration_3h_or_more,3 hours or more,BRITISH AIRWAYS,UNITED KINGDOM,True
BBC,296,4,13,141,13.2583,618.8833,47.6351,scheduled_duration_3h_or_more,3 hours or more,BANGLADESH BIMAN,BANGLADESH,False
BBD,133,4,11,8,-1.9667,195.7167,6.015,scheduled_duration_3h_or_more,3 hours or more,BLUEBIRD NORDIC LTD,ICELAND,False
BBG,103,1,8,15,1.5,220.2333,14.5631,scheduled_duration_3h_or_more,3 hours or more,BLUE BIRD AIRWAYS,GREECE,False
BCS,2141,4,83,356,-0.6167,382.2333,16.6277,scheduled_duration_3h_or_more,3 hours or more,"EUROPEAN AIR TRANSPORT, LEIPZIG",GERMANY,True
BDR,164,4,2,32,4.3083,244.45,19.5122,scheduled_duration_3h_or_more,3 hours or more,BADR AIRLINES,SUDAN,False
BEL,2945,4,79,684,3.05,352.6,23.2258,scheduled_duration_3h_or_more,3 hours or more,BRUSSELS AIRLINES,BELGIUM,True
BGH,30,2,15,4,-0.6417,206.45,13.3333,scheduled_duration_3h_or_more,3 hours or more,BH AIR,BULGARIA,False
BLA,751,3,64,168,5.5167,199.5667,22.3702,scheduled_duration_3h_or_more,3 hours or more,BLUE AIR AVIATION S.A.,ROMANIA,True
BOX,3120,4,56,527,0.2667,532.2583,16.891,scheduled_duration_3h_or_more,3 hours or more,"AEROLOGIC GMBH, LEIPZIG",GERMANY,True
BRQ,95,4,2,30,7.8667,203.0167,31.5789,scheduled_duration_3h_or_more,3 hours or more,EL-BURAQ AIR TRANSPORT INC.,LIBYA,False
BRU,1491,4,19,171,-1.15,259.1667,11.4688,scheduled_duration_3h_or_more,3 hours or more,BELAVIA,BELARUS,True
BTI,1552,4,83,265,4.5833,235.7917,17.0747,scheduled_duration_3h_or_more,3 hours or more,AIR BALTIC CORPORATION JSC,LATVIA,True
CAI,1851,4,113,597,7.7833,229.0833,32.2528,scheduled_duration_3h_or_more,3 hours or more,TURISTIK HAVA TASIMACILIK A.S.,TURKEY,True
CAL,799,4,17,380,13.9667,779.9333,47.5594,scheduled_duration_3h_or_more,3 hours or more,CHINA AIRLINES,CHINA,True
CAO,485,4,11,111,0.5167,644.1667,22.8866,scheduled_duration_3h_or_more,3 hours or more,"AIR CHINA CARGO CO., LTD",CHINA,False
CBJ,42,3,6,24,20.0833,737.925,57.1429,scheduled_duration_3h_or_more,3 hours or more,"BEIJING CAPITAL AIRLINES CO., LTD",CHINA,False
CCA,1717,4,54,444,5.1667,607.0833,25.8591,scheduled_duration_3h_or_more,3 hours or more,AIR CHINA,CHINA,True
CES,869,4,24,318,8.9,689.8667,36.5938,scheduled_duration_3h_or_more,3 hours or more,CHINA EASTERN AIRLINES,CHINA,True
CFE,123,3,21,76,19.2667,205.3833,61.7886,scheduled_duration_3h_or_more,3 hours or more,BA CITYFLYER LTD,UNITED KINGDOM,False
CFG,7232,4,323,2538,9.175,278.175,35.094,scheduled_duration_3h_or_more,3 hours or more,"CONDOR FLUGDIENST GMBH, FRANKFURT (MAIN)",GERMANY,True
CHG,304,4,28,85,5.3417,429.5083,27.9605,scheduled_duration_3h_or_more,3 hours or more,CHALLENGE AIRLINES (BE) S.A.,BELGIUM,False
CHH,177,4,17,38,3.6667,605.2333,21.4689,scheduled_duration_3h_or_more,3 hours or more,"HAINAN AIRLINES HOLDING CO., LTD.",CHINA,False
CJT,435,4,23,156,7.7,435.65,35.8621,scheduled_duration_3h_or_more,3 hours or more,CARGOJET AIRWAYS LTD,CANADA,False
CKK,457,4,6,86,0.4,652.6833,18.8184,scheduled_duration_3h_or_more,3 hours or more,CHINA CARGO AIRLINES LTD,CHINA,False
CKS,79,4,6,39,14.75,773.0,49.3671,scheduled_duration_3h_or_more,3 hours or more,"KALITTA AIR, LLC (YPSILANTI, MI)",UNITED STATES,False
CLX,3493,4,106,1238,8.5667,480.1833,35.4423,scheduled_duration_3h_or_more,3 hours or more,CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,True
CND,66,4,2,13,2.95,307.6917,19.697,scheduled_duration_3h_or_more,3 hours or more,CORENDON DUTCH AIRLINES B.V.,NETHERLANDS,False
CPA,1033,4,28,585,17.8333,725.4333,56.6312,scheduled_duration_3h_or_more,3 hours or more,CATHAY PACIFIC AIRWAYS LTD.,CHINA,True
CRL,1463,4,37,676,13.2833,506.7,46.2064,scheduled_duration_3h_or_more,3 hours or more,CORSAIR,FRANCE,True
CSA,115,2,4,17,3.35,247.8667,14.7826,scheduled_duration_3h_or_more,3 hours or more,CZECH AIRLINES J.S.C.,CZECHIA,False
CSC,255,4,17,37,-3.05,576.7,14.5098,scheduled_duration_3h_or_more,3 hours or more,SI CHUAN AIRLINES,CHINA,False
CSG,59,1,2,7,0.9667,708.9667,11.8644,scheduled_duration_3h_or_more,3 hours or more,CHINA SOUTHERN AIRLINES CARGO,CHINA,False
CSH,35,2,2,13,14.3667,667.8,37.1429,scheduled_duration_3h_or_more,3 hours or more,SHANGHAI AIRLINES,CHINA,False
CSN,1082,4,26,446,10.9083,678.3333,41.22,scheduled_duration_3h_or_more,3 hours or more,CHINA SOUTHERN AIRLINES,CHINA,True
CTN,35,4,12,13,12.65,193.4833,37.1429,scheduled_duration_3h_or_more,3 hours or more,CROATIA AIRLINES,CROATIA,False
CUB,30,4,3,16,18.225,538.9167,53.3333,scheduled_duration_3h_or_more,3 hours or more,CUBANA DE AVIACION S.A.,CUBA,False
CXA,37,4,3,25,29.9167,693.8167,67.5676,scheduled_duration_3h_or_more,3 hours or more,XIAMEN AIRLINES,CHINA,False
CXI,1304,4,106,178,-0.3167,260.375,13.6503,scheduled_duration_3h_or_more,3 hours or more,CORENDON AIRLINES EUROPE,MALTA,True
CYP,93,4,24,19,1.7,198.4,20.4301,scheduled_duration_3h_or_more,3 hours or more,CYPRUS AIRWAYS,CYPRUS,False
DAH,1341,4,80,535,9.8167,236.6667,39.8956,scheduled_duration_3h_or_more,3 hours or more,AIR ALGERIE,ALGERIA,True
DAL,14174,4,134,5289,9.4167,492.8083,37.3148,scheduled_duration_3h_or_more,3 hours or more,"DELTA AIR LINES, INC.",UNITED STATES,True
DHK,912,4,31,244,5.8917,443.8333,26.7544,scheduled_duration_3h_or_more,3 hours or more,DHL AIR LIMITED,UNITED KINGDOM,True
DHX,208,4,14,39,1.8333,281.1917,18.75,scheduled_duration_3h_or_more,3 hours or more,DHL AVIATION EEMEA B.S.C.(C),BAHRAIN,False
DJT,47,1,4,11,3.7,455.65,23.4043,scheduled_duration_3h_or_more,3 hours or more,DREAMJET,FRANCE,False
DKH,38,4,5,9,5.95,539.25,23.6842,scheduled_duration_3h_or_more,3 hours or more,"JUNEYAO AIRLINES CO., LTD",CHINA,False
DLH,18914,4,398,6402,8.95,470.6167,33.8479,scheduled_duration_3h_or_more,3 hours or more,"DEUTSCHE LUFTHANSA, AG, KOELN",GERMANY,True
DTA,403,4,7,162,11.8167,432.9833,40.1985,scheduled_duration_3h_or_more,3 hours or more,"TAAG, LINHAS AEREAS DE ANGOLA (ANGOLA AIRLINES)",ANGOLA,False
EDW,2730,4,91,390,-0.1667,256.525,14.2857,scheduled_duration_3h_or_more,3 hours or more,EDELWEISS AIR AG,SWITZERLAND,True
EIN,5141,4,92,1021,0.4167,385.1833,19.8599,scheduled_duration_3h_or_more,3 hours or more,AER LINGUS TEORANTA,IRELAND,True
ELY,6739,4,91,1603,6.2,270.2167,23.7869,scheduled_duration_3h_or_more,3 hours or more,EL AL - ISRAEL AIRLINES LTD.,ISRAEL,True
ETD,6383,4,77,1738,7.3833,392.0167,27.2286,scheduled_duration_3h_or_more,3 hours or more,ETIHAD AIRWAYS,UNITED ARAB EMIRATES,True
ETH,5104,4,140,2012,10.9,422.1583,39.4201,scheduled_duration_3h_or_more,3 hours or more,ETHIOPIAN AIRLINES CORPORATION,ETHIOPIA,True
EUK,464,4,6,107,1.0667,462.3333,23.0603,scheduled_duration_3h_or_more,3 hours or more,AER LINGUS (UK) LIMITED,UNITED KINGDOM,False
EVA,660,4,18,413,21.3,756.7833,62.5758,scheduled_duration_3h_or_more,3 hours or more,EVA AIRWAYS CORPORATION,CHINA,True
EVE,451,4,22,167,10.9333,548.35,37.0288,scheduled_duration_3h_or_more,3 hours or more,"EVELOP AIRLINE, S.L.",SPAIN,False
EWG,5942,4,378,1433,4.7417,222.8417,24.1165,scheduled_duration_3h_or_more,3 hours or more,EUROWINGS GMBH,GERMANY,True
EXS,17928,4,571,5299,5.9667,247.6,29.5571,scheduled_duration_3h_or_more,3 hours or more,JET2.COM LTD,UNITED KINGDOM,True
EZS,1446,4,76,219,1.125,235.9583,15.1452,scheduled_duration_3h_or_more,3 hours or more,EASY JET SWITZERLAND SA,SWITZERLAND,True
EZY,16739,4,470,4977,6.0667,234.4667,29.733,scheduled_duration_3h_or_more,3 hours or more,EASYJET UK LTD,UNITED KINGDOM,True
FAD,100,3,13,27,-4.775,230.0667,27.0,scheduled_duration_3h_or_more,3 hours or more,FLYADEAL,SAUDI ARABIA,False
FBA,20,1,5,2,-15.6917,189.6833,10.0,scheduled_duration_3h_or_more,3 hours or more,FLY BAGHDAD,IRAQ,False
FDX,3660,4,79,1533,11.6417,465.2833,41.8852,scheduled_duration_3h_or_more,3 hours or more,FEDERAL EXPRESS CORPORATION,UNITED STATES,True
FHY,119,3,13,60,15.2,242.05,50.4202,scheduled_duration_3h_or_more,3 hours or more,FREE BIRD AIRLINES (HURKUS HAVAYOLU TASIMACILIK VE TICARET A.S.),TURKEY,False
FIN,6330,4,133,1510,6.0583,269.5417,23.8547,scheduled_duration_3h_or_more,3 hours or more,FINNAIR OYJ,FINLAND,True
FLI,194,4,34,38,5.7667,207.0417,19.5876,scheduled_duration_3h_or_more,3 hours or more,"ATLANTIC AIRWAYS, FAROE ISLANDS P/F",DENMARK,False
FPY,862,4,38,180,5.0583,218.5833,20.8817,scheduled_duration_3h_or_more,3 hours or more,FLY PLAY,ICELAND,True
FWI,1092,4,15,481,13.1167,487.5417,44.0476,scheduled_duration_3h_or_more,3 hours or more,AIR CARAIBES,FRANCE,True
GEC,1772,4,39,384,3.4,663.8,21.6704,scheduled_duration_3h_or_more,3 hours or more,"LUFTHANSA CARGO AG, FRANKFURT (MAIN)",GERMANY,True
GFA,2030,4,38,807,10.4667,363.0917,39.7537,scheduled_duration_3h_or_more,3 hours or more,GULF AIR,BAHRAIN,True
GIA,39,4,4,29,24.2,825.1833,74.359,scheduled_duration_3h_or_more,3 hours or more,"GARUDA INDONESIA AIRWAYS, PT.",INDONESIA,False
GMS,146,3,2,70,14.1667,206.4833,47.9452,scheduled_duration_3h_or_more,3 hours or more,GHADAMES AIR,LIBYA,False
GRL,215,4,7,64,7.4333,264.5167,29.7674,scheduled_duration_3h_or_more,3 hours or more,AIR GREENLAND A/S,DENMARK,False
GTI,770,4,104,261,6.2083,505.9417,33.8961,scheduled_duration_3h_or_more,3 hours or more,"ATLAS AIR, INC. (JAMAICA, NY)",UNITED STATES,True
HVN,589,4,24,302,15.5333,724.2167,51.2733,scheduled_duration_3h_or_more,3 hours or more,HANG KHONG VIET NAM,VIET NAM,True
IAW,324,4,28,150,13.0417,259.0917,46.2963,scheduled_duration_3h_or_more,3 hours or more,IRAQI AIRWAYS,IRAQ,False
IBB,477,4,45,28,-6.0833,195.8333,5.87,scheduled_duration_3h_or_more,3 hours or more,BINTER CANARIAS,SPAIN,False
IBE,7688,4,134,1365,3.4667,564.875,17.7549,scheduled_duration_3h_or_more,3 hours or more,"IBERIA - LINEAS AEREAS DE ESPANA, SOCIEDAD ANONIMA OPERADORA",SPAIN,True
ICE,2664,4,54,828,8.9333,197.7417,31.0811,scheduled_duration_3h_or_more,3 hours or more,ICELANDAIR,ICELAND,True
ICL,230,4,21,78,7.175,309.6083,33.913,scheduled_duration_3h_or_more,3 hours or more,CHALLENGE AIRLINES (IL),ISRAEL,False
IGO,243,3,2,29,0.3333,370.95,11.9342,scheduled_duration_3h_or_more,3 hours or more,INTERGLOBE AVIATION PRIVATE LTD (T/A INDIGO),INDIA,False
IRA,604,4,29,221,10.3833,291.3083,36.5894,scheduled_duration_3h_or_more,3 hours or more,IRAN NATIONAL AIRLINES CORP. (IRAN AIR),IRAN (ISLAMIC REPUBLIC OF),True
IRB,426,4,13,91,4.825,193.9417,21.3615,scheduled_duration_3h_or_more,3 hours or more,IRAN AIR TOURS CO.,IRAN (ISLAMIC REPUBLIC OF),False
IRC,31,4,3,5,5.7833,192.4,16.129,scheduled_duration_3h_or_more,3 hours or more,IRAN ASEMAN AIRLINE,IRAN (ISLAMIC REPUBLIC OF),False
IRM,660,4,12,92,-8.6167,203.5167,13.9394,scheduled_duration_3h_or_more,3 hours or more,MAHAN AIR,IRAN (ISLAMIC REPUBLIC OF),True
ISR,165,4,31,36,6.1833,221.4667,21.8182,scheduled_duration_3h_or_more,3 hours or more,ISRAIR LTD,ISRAEL,False
JAL,819,4,11,193,4.2833,832.9167,23.5653,scheduled_duration_3h_or_more,3 hours or more,"JAPAN AIRLINES CO., LTD",JAPAN,True
JBU,743,4,8,137,0.9833,432.7667,18.4388,scheduled_duration_3h_or_more,3 hours or more,"JETBLUE AIRWAYS CORPORATION (NEW YORK, NY)",UNITED STATES,True
JZR,707,4,17,258,9.5833,205.1833,36.4922,scheduled_duration_3h_or_more,3 hours or more,JAZEERA AIRWAYS,KUWAIT,True
KAC,2250,4,43,713,7.6833,325.5,31.6889,scheduled_duration_3h_or_more,3 hours or more,KUWAIT AIRWAYS CORPORATION,KUWAIT,True
KAL,1560,4,31,685,12.6667,709.2917,43.9103,scheduled_duration_3h_or_more,3 hours or more,"KOREAN AIR LINES CO., LTD.",REPUBLIC OF KOREA,True
KLM,10888,4,150,4388,11.6333,525.5,40.3012,scheduled_duration_3h_or_more,3 hours or more,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,True
KMF,68,4,4,28,11.4417,288.975,41.1765,scheduled_duration_3h_or_more,3 hours or more,KAM AIR,AFGHANISTAN,False
KNE,1543,4,55,420,3.1,224.5333,27.2197,scheduled_duration_3h_or_more,3 hours or more,FLYNAS COMPANY CLOSED JOINT STOCK COMPANY,SAUDI ARABIA,True
KQA,804,4,12,451,17.7583,499.5167,56.0945,scheduled_duration_3h_or_more,3 hours or more,KENYA AIRWAYS LTD.,KENYA,True
KZR,2337,4,57,588,6.0833,313.0333,25.1605,scheduled_duration_3h_or_more,3 hours or more,AIR ASTANA,KAZAKHSTAN,True
LAA,73,4,2,19,2.4333,203.3833,26.0274,scheduled_duration_3h_or_more,3 hours or more,LIBYAN AIRLINES,LIBYA,False
LAE,56,3,5,21,11.075,507.375,37.5,scheduled_duration_3h_or_more,3 hours or more,LINEA AEREA CARGUERA DE COLOMBIA S.A.,COLOMBIA,False
LAN,453,4,4,129,7.3833,722.8,28.4768,scheduled_duration_3h_or_more,3 hours or more,LINEA AEREA NACIONAL DE CHILE (LAN),CHILE,False
LAV,23,3,10,3,2.7333,253.4833,13.0435,scheduled_duration_3h_or_more,3 hours or more,"ALBA STAR, S.A.",SPAIN,False
LBT,138,4,25,30,4.325,192.1333,21.7391,scheduled_duration_3h_or_more,3 hours or more,NOUVEL AIR TUNISIE,TUNISIA,False
LCO,195,4,12,76,11.7667,491.6333,38.9744,scheduled_duration_3h_or_more,3 hours or more,LAN CARGO S.A.,CHILE,False
LGL,943,4,75,173,2.1333,246.5667,18.3457,scheduled_duration_3h_or_more,3 hours or more,LUXAIR - SOCIETE LUXEMBOURGEOISE DE NAVIGATION AERIENNE S.A.,LUXEMBOURG,True
LOT,3728,4,88,1088,6.0667,459.2917,29.1845,scheduled_duration_3h_or_more,3 hours or more,LOT - POLSKIE LINIE LOTNICZE,POLAND,True
LPE,243,4,2,52,2.3833,661.05,21.3992,scheduled_duration_3h_or_more,3 hours or more,LAN PERU S.A.,PERU,False
LWA,364,4,6,86,2.5667,201.8083,23.6264,scheduled_duration_3h_or_more,3 hours or more,LIBYAN WINGS,LIBYA,False
LZB,164,4,16,36,5.6333,194.85,21.9512,scheduled_duration_3h_or_more,3 hours or more,BULGARIA AIR,BULGARIA,False
MAA,48,3,11,30,29.7667,514.3833,62.5,scheduled_duration_3h_or_more,3 hours or more,"AEROTRANSPORTES MAS DE CARGA, S.A. DE C.V.",MEXICO,False
MAS,498,4,9,268,17.1583,755.5083,53.8153,scheduled_duration_3h_or_more,3 hours or more,MALAYSIA AIRLINES BERHAD,MALAYSIA,False
MAU,374,4,5,124,9.725,681.775,33.1551,scheduled_duration_3h_or_more,3 hours or more,AIR MAURITIUS LIMITED,MAURITIUS,False
MDG,39,3,3,30,19.3333,653.0333,76.9231,scheduled_duration_3h_or_more,3 hours or more,"AIR MADAGASCAR, SOCIETE NATIONALE MALGACHE DE TRANSPORTS AERIENS",MADAGASCAR,False
MEA,1871,4,31,488,5.4667,260.5667,26.0823,scheduled_duration_3h_or_more,3 hours or more,MIDDLE EAST AIRLINES - AIRLIBAN,LEBANON,True
MGL,144,4,4,51,9.9917,530.0833,35.4167,scheduled_duration_3h_or_more,3 hours or more,MONGOLIAN AIRLINES,MONGOLIA,False
MLD,239,4,12,41,-1.0333,210.5667,17.1548,scheduled_duration_3h_or_more,3 hours or more,AIR MOLDOVA,REPUBLIC OF MOLDOVA,False
MMD,28,2,14,3,-2.15,215.0583,10.7143,scheduled_duration_3h_or_more,3 hours or more,AIR ALSIE A/S,DENMARK,False
MMZ,25,4,2,13,19.7,238.0167,52.0,scheduled_duration_3h_or_more,3 hours or more,EUROATLANTIC AIRWAYS,PORTUGAL,False
MNB,295,4,30,67,1.65,199.55,22.7119,scheduled_duration_3h_or_more,3 hours or more,MNG HAVAYOLLARI VE TASIMACILIK A.S.,TURKEY,False
MPH,433,4,9,133,7.6667,493.2833,30.7159,scheduled_duration_3h_or_more,3 hours or more,MARTINAIR HOLLAND N.V.,NETHERLANDS,False
MSA,75,4,10,9,0.4667,238.8667,12.0,scheduled_duration_3h_or_more,3 hours or more,POSTE AIR CARGO S.R.L.,ITALY,False
MSC,1880,4,114,407,3.725,253.9333,21.6489,scheduled_duration_3h_or_more,3 hours or more,AIR CAIRO,EGYPT,True
MSR,5651,4,80,2505,12.5,264.9333,44.3284,scheduled_duration_3h_or_more,3 hours or more,EGYPT AIR,EGYPT,True
NCA,124,4,5,49,11.4417,564.4417,39.5161,scheduled_duration_3h_or_more,3 hours or more,"NIPPON CARGO AIRLINES CO., LTD.",JAPAN,False
NIA,47,4,7,11,2.5,292.1,23.4043,scheduled_duration_3h_or_more,3 hours or more,NILE AIR,EGYPT,False
NOS,2254,4,232,392,1.6083,273.9667,17.3913,scheduled_duration_3h_or_more,3 hours or more,NEOS S.P.A.,ITALY,True
OBS,39,3,6,20,15.6667,489.8167,51.2821,scheduled_duration_3h_or_more,3 hours or more,ORBEST,PORTUGAL,False
OCN,3012,4,115,1031,7.9083,512.7,34.2297,scheduled_duration_3h_or_more,3 hours or more,EW DISCOVER GMBH,GERMANY,True
OMA,1126,4,18,312,7.7583,391.625,27.7087,scheduled_duration_3h_or_more,3 hours or more,OMAN AIR,OMAN,True
OMS,311,4,21,64,4.3333,264.0,20.5788,scheduled_duration_3h_or_more,3 hours or more,SALAM AIR,OMAN,False
PAC,324,4,12,97,5.2083,600.2667,29.9383,scheduled_duration_3h_or_more,3 hours or more,"POLAR AIR CARGO WORLDWIDE, INC. (WASHINGTON, DC)",UNITED STATES,False
PAL,22,1,2,12,21.4583,995.3,54.5455,scheduled_duration_3h_or_more,3 hours or more,PHILIPPINE AIR LINES INC. (PAL),PHILIPPINES,False
PGT,14610,4,264,4571,8.3167,213.6417,31.2868,scheduled_duration_3h_or_more,3 hours or more,PEGASUS HAVA TASIMACILIGI A.S. (PEGASUS),TURKEY,True
PIA,314,4,16,146,13.2667,748.425,46.4968,scheduled_duration_3h_or_more,3 hours or more,PAKISTAN INTERNATIONAL AIRLINES CORPORATION (PIA),PAKISTAN,False
QFA,514,4,10,281,17.2417,991.5417,54.6693,scheduled_duration_3h_or_more,3 hours or more,QANTAS AIRWAYS LIMITED,AUSTRALIA,True
QTR,21952,4,249,10333,13.6667,372.8167,47.0709,scheduled_duration_3h_or_more,3 hours or more,QATAR AIRWAYS GROUP Q.C.S.C.,QATAR,True
RAM,6450,4,159,2032,7.9167,225.725,31.5039,scheduled_duration_3h_or_more,3 hours or more,ROYAL AIR MAROC - COMPAGNIE NATIONALE DE TRANSPORTS AERIENS,MOROCCO,True
RBA,78,4,4,43,16.7833,884.0083,55.1282,scheduled_duration_3h_or_more,3 hours or more,ROYAL BRUNEI AIRLINES,BRUNEI DARUSSALAM,False
REU,458,4,8,247,16.6833,647.625,53.9301,scheduled_duration_3h_or_more,3 hours or more,AIR AUSTRAL,FRANCE,False
RJA,2057,4,40,752,9.7833,281.5,36.5581,scheduled_duration_3h_or_more,3 hours or more,ROYAL JORDANIAN,JORDAN,True
ROT,594,4,18,122,3.9417,197.625,20.5387,scheduled_duration_3h_or_more,3 hours or more,COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.,ROMANIA,True
RWD,138,4,5,62,12.1083,498.1833,44.9275,scheduled_duration_3h_or_more,3 hours or more,RWANDAIR LTD.,RWANDA,False
RYR,36190,4,1671,7291,3.3333,213.6333,20.1464,scheduled_duration_3h_or_more,3 hours or more,RYANAIR,IRELAND,True
RZO,774,4,34,331,11.5167,301.125,42.7649,scheduled_duration_3h_or_more,3 hours or more,SATA INTERNACIONAL - AZORES AIRLINES S.A,PORTUGAL,True
SAS,7428,4,388,1264,2.2167,244.7917,17.0167,scheduled_duration_3h_or_more,3 hours or more,SCANDINAVIAN AIRLINES SYSTEM,SWEDEN,True
SAW,34,4,4,17,15.9667,329.6083,50.0,scheduled_duration_3h_or_more,3 hours or more,CHAM WING AIRLINES,SYRIAN ARAB REPUBLIC,False
SBI,289,4,28,130,13.3333,310.35,44.9827,scheduled_duration_3h_or_more,3 hours or more,SIBERIA AIRLINES,RUSSIAN FEDERATION,False
SDM,1027,4,47,298,6.8,217.8167,29.0166,scheduled_duration_3h_or_more,3 hours or more,"ROSSIYA AIRLINES, JOINT STOCK COMPANY",RUSSIAN FEDERATION,True
SDR,1372,4,118,323,4.675,246.425,23.5423,scheduled_duration_3h_or_more,3 hours or more,SUNDAIR GMBH,GERMANY,True
SEH,769,4,53,113,1.5667,206.15,14.6944,scheduled_duration_3h_or_more,3 hours or more,SKY EXPRESS S.A.,GREECE,True
SEJ,108,4,17,30,4.9583,264.3083,27.7778,scheduled_duration_3h_or_more,3 hours or more,SPICEJET,INDIA,False
SEY,95,4,9,24,4.4333,378.8833,25.2632,scheduled_duration_3h_or_more,3 hours or more,AIR SEYCHELLES,SEYCHELLES,False
SHS,162,3,15,55,7.5,214.1833,33.9506,scheduled_duration_3h_or_more,3 hours or more,SHIRAK AVIA LLC,ARMENIA,False
SIA,4201,4,52,1911,13.25,758.7667,45.4892,scheduled_duration_3h_or_more,3 hours or more,SINGAPORE AIRLINES LIMITED,SINGAPORE,True
SLM,79,4,4,44,16.7333,549.2333,55.6962,scheduled_duration_3h_or_more,3 hours or more,SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.,SURINAME,False
SMR,118,4,6,34,7.6,281.1667,28.8136,scheduled_duration_3h_or_more,3 hours or more,SOMON AIR,TAJIKISTAN,False
STP,22,4,2,9,4.225,361.1583,40.9091,scheduled_duration_3h_or_more,3 hours or more,STP AIRWAYS,SAO TOME AND PRINCIPE,False
SVA,5513,4,121,3573,20.7167,335.9333,64.8104,scheduled_duration_3h_or_more,3 hours or more,SAUDI ARABIAN AIRLINES,SAUDI ARABIA,True
SVR,165,4,12,81,14.4,218.1333,49.0909,scheduled_duration_3h_or_more,3 hours or more,URAL AIRLINES,RUSSIAN FEDERATION,False
SWN,77,4,14,13,-7.0167,189.8667,16.8831,scheduled_duration_3h_or_more,3 hours or more,WEST ATLANTIC SWEDEN AB,SWEDEN,False
SWR,4926,4,94,1437,7.0333,498.0917,29.1717,scheduled_duration_3h_or_more,3 hours or more,SWISS INTERNATIONAL AIR LINES LTD,SWITZERLAND,True
SWT,145,4,44,18,-7.7,204.45,12.4138,scheduled_duration_3h_or_more,3 hours or more,SWIFTAIR S.A.,SPAIN,False
SXS,11899,4,325,3754,8.5833,209.2,31.5489,scheduled_duration_3h_or_more,3 hours or more,GUNES EKSPRES HAVACILIK A.S. (SUNEXPRESS),TURKEY,True
SXY,65,4,5,31,14.7833,470.75,47.6923,scheduled_duration_3h_or_more,3 hours or more,SAFARI EXPRESS CARGO LIMITED,KENYA,False
TAM,1233,4,14,321,6.5,651.45,26.0341,scheduled_duration_3h_or_more,3 hours or more,TAM - LINHAS AEREAS S.A.,BRAZIL,True
TAP,10522,4,163,4334,11.825,310.075,41.1899,scheduled_duration_3h_or_more,3 hours or more,"TRANSPORTES AEREOS PORTUGUESES, E.P.",PORTUGAL,True
TAR,276,4,31,145,16.8167,236.5,52.5362,scheduled_duration_3h_or_more,3 hours or more,TUNIS AIR - SOCIETE TUNISIENNE DE L'AIR,TUNISIA,False
TCV,120,4,7,51,11.7333,234.5417,42.5,scheduled_duration_3h_or_more,3 hours or more,TRANSPORTES AEREOS DE CABO VERDE - TACV,CABO VERDE,False
TGW,237,4,9,132,18.4,700.3167,55.6962,scheduled_duration_3h_or_more,3 hours or more,SCOOT PTE. LTD.,SINGAPORE,False
TGZ,186,4,10,46,4.3417,261.5917,24.7312,scheduled_duration_3h_or_more,3 hours or more,GEORGIAN AIRWAYS,GEORGIA,False
THA,1896,4,24,892,13.325,677.9667,47.0464,scheduled_duration_3h_or_more,3 hours or more,THAI AIRWAYS INTERNATIONAL LTD.,THAILAND,True
THT,177,4,2,65,11.0167,637.3833,36.7232,scheduled_duration_3h_or_more,3 hours or more,AIR TAHITI NUI,FRANCE,False
THY,57091,4,730,15666,5.6,245.45,27.4404,scheduled_duration_3h_or_more,3 hours or more,TURK HAVA YOLLARI (TURKISH AIRLINES CO.),TURKEY,True
TPA,21,2,3,5,7.0833,563.2667,23.8095,scheduled_duration_3h_or_more,3 hours or more,TRANSPORTES AEREOS MERCANTILES PANAMERICANOS S.A. (TAMPA),COLOMBIA,False
TRA,4083,4,154,1143,7.4833,220.7333,27.9941,scheduled_duration_3h_or_more,3 hours or more,TRANSAVIA HOLLAND B.V.,NETHERLANDS,True
